frame_index,angle_deg
0,41.6565
1,33.0760
2,27.4322
3,18.6840
4,8.2831
5,8.4787
6,10.7184
7,13.0288
8,15.8901
9,18.5045
10,19.0920
11,21.0190
12,22.1715
13,24.0903
14,44.6159
15,46.6701
16,45.7774
17,39.3694
18,39.3694
19,24.2212
20,22.8179
21,20.1454
22,
23,
24,
25,
26,
27,14.6289
28,8.5261
29,11.6427
30,27.3230
31,27.3230
32,31.5544
33,39.2454
34,57.3679
35,53.4918
36,58.6678
37,72.8038
38,91.7380
39,102.1318
40,115.1254
41,126.5796
42,127.5134
43,133.1652
44,138.8101
45,145.0454
46,149.5826
47,152.5613
48,155.6842
49,158.9281
50,161.8087
51,165.6786
52,171.6143
53,174.6235
54,176.3068
55,176.0590
56,176.6263
57,176.2687
58,173.6376
59,171.6324
60,170.6097
61,166.8801
62,164.9908
63,165.5173
64,163.9923
65,163.0848
66,163.4362
67,162.0906
68,160.3785
69,160.8675
70,160.4170
71,164.2809
72,165.9930
73,159.2062
74,158.5410
75,158.0080
76,147.6286
77,126.0697
78,179.8402
79,163.6833
80,166.2471
81,164.6175
82,164.2385
83,155.7926
84,155.2133
85,140.4267
86,124.9505
87,109.8740
88,102.1367
89,93.3678
90,87.8660
91,89.9810
92,85.8273
93,87.0049
94,84.3287
95,85.1682
96,81.6587
97,83.5548
98,76.6504
99,71.5393
100,68.5758
101,64.6804
102,61.7612
103,60.2720
104,61.2094
105,62.6207
106,62.7644
107,62.2816
108,59.4858
109,57.3312
110,62.7568
111,76.8761
112,100.8969
113,123.4115
114,146.1001
115,157.7056
116,158.1316
117,152.7670
118,148.9037
119,146.4995
120,145.4679
121,148.0426
122,143.4329
123,141.6604
124,139.5216
125,141.7376
126,145.7655
127,148.6507
128,151.3707
129,149.5830
130,144.9775
131,138.9376
132,135.9004
133,131.9390
134,131.8142
135,132.1778
136,132.4271
137,133.6798
138,134.3835
139,130.2414
140,127.0637
141,113.0628
142,87.3667
143,76.5656
144,63.3480
145,41.1251
146,26.6697
147,32.6602
148,32.9371
149,30.0142
150,24.0979
151,25.4532
152,26.0453
153,15.3142
154,26.1355
155,45.8093
156,53.4580
157,62.6109
158,76.0129
159,76.9670
160,60.2156
161,54.2604
162,37.0482
163,22.6697
164,14.5474
165,16.5050
166,13.9019
167,13.8768
168,15.8463
169,17.5910
170,20.7038
171,27.1232
172,33.3341
173,42.3230
174,50.2827
175,60.5135
176,70.2320
177,85.1720
178,100.1172
179,120.8436
180,138.6622
181,148.6194
182,159.6090
183,166.2362
184,167.2437
185,164.9016
186,163.2952
187,158.2505
188,156.0098
189,155.4850
190,155.8138
191,153.9443
192,153.9859
193,153.7391
194,155.1054
195,155.9296
196,158.8483
197,158.1109
198,153.2000
199,150.3977
200,147.8563
201,145.6075
202,139.4789
203,134.7269
204,130.2557
205,126.6178
206,124.3764
207,127.3058
208,131.3822
209,130.0686
210,129.1092
211,126.2841
212,123.8738
213,122.2135
214,125.1612
215,127.9801
216,131.8663
217,139.2144
218,147.6678
219,150.3464
220,153.6182
221,154.7664
222,153.0749
