frame_index,angle_deg
0,169.5617
1,170.0599
2,170.4162
3,170.5679
4,171.0188
5,171.5399
6,171.5273
7,171.3977
8,169.9509
9,170.3625
10,169.5081
11,169.0699
12,168.9096
13,168.3055
14,167.9248
15,165.1991
16,163.4895
17,160.4704
18,158.3808
19,155.2815
20,152.6126
21,149.5704
22,146.9941
23,146.2774
24,145.4338
25,143.0791
26,140.4512
27,139.5087
28,137.8269
29,134.2824
30,130.1517
31,128.0212
32,125.7440
33,122.5127
34,121.3717
35,121.3220
36,119.7089
37,117.8468
38,115.6023
39,113.2089
40,114.3865
41,110.4561
42,111.5446
43,111.3097
44,110.5914
45,108.9527
46,105.1879
47,102.9780
48,101.0526
49,97.8727
50,93.0832
51,90.5673
52,88.6171
53,86.6836
54,85.1418
55,82.9770
56,81.3206
57,79.5144
58,77.2558
59,76.4806
60,75.0107
61,73.0230
62,71.2046
63,69.9421
64,69.2424
65,68.5495
66,67.8957
67,66.5283
68,64.9323
69,63.4275
70,63.1392
71,61.6625
72,59.3163
73,58.8198
74,56.5392
75,55.3781
76,55.2999
77,55.1383
78,55.0289
79,54.6080
80,56.5965
81,55.5355
82,55.3722
83,55.1404
84,55.1310
85,55.1818
86,49.4113
87,48.5460
88,52.6293
89,52.2344
90,51.5825
91,51.3659
92,50.6191
93,50.2811
94,49.8852
95,49.1871
96,47.9235
97,48.0820
98,47.4102
99,47.4884
100,46.9320
101,46.5379
102,46.7625
103,46.2263
104,46.1700
105,46.2455
106,46.2649
107,46.2012
108,46.3053
109,45.9567
110,46.4735
111,46.1145
112,46.3247
113,45.8527
114,45.4381
115,45.4691
116,45.8649
117,45.6231
118,45.4704
119,45.0154
120,43.9295
121,43.7645
122,43.2501
123,43.2658
124,43.8638
125,45.1697
126,47.1410
127,47.4963
128,50.9644
129,47.6546
130,58.3217
131,63.6471
132,66.4960
133,72.1616
134,80.5877
135,87.6769
136,92.7479
137,101.2851
138,107.3740
139,111.5492
140,114.0227
141,116.8906
142,120.5315
143,124.7212
144,127.7031
145,133.5052
146,133.6761
147,139.1420
148,142.0873
149,145.5470
150,147.9892
151,148.8960
152,150.5381
153,151.9753
154,152.9760
155,154.7250
156,154.6160
157,155.2791
158,156.8692
159,157.4127
160,157.8499
161,158.4246
162,158.7806
163,159.3184
164,160.6399
165,159.8661
166,160.7453
167,160.9372
168,160.7111
169,159.7686
170,159.9419
171,159.6470
172,161.0699
173,161.0683
174,159.8498
175,160.0566
176,160.3597
177,160.3001
178,159.8668
179,159.1911
180,158.8814
181,159.5372
182,160.3246
183,160.8833
184,161.6061
185,161.2766
186,163.0084
187,162.9404
188,163.0147
189,163.0504
190,162.8575
191,162.7145
192,162.5595
193,162.5527
194,162.2837
195,162.2470
196,162.0521
197,161.5130
198,160.8268
199,159.5651
200,157.6895
201,156.5670
202,154.6386
203,152.9477
204,150.1887
205,148.4669
206,145.5958
207,144.2877
208,143.1361
209,142.2286
210,139.1667
211,137.2188
212,133.8404
213,131.2825
214,129.3861
215,126.5908
216,124.1897
217,122.0808
218,119.3446
219,114.8594
220,117.4279
221,115.1986
222,113.9251
223,111.9385
224,110.7825
225,109.0204
226,107.6295
227,106.4201
228,105.1037
229,103.8988
230,100.5120
231,100.0837
232,96.9346
233,94.8681
234,89.2751
235,87.1740
236,86.6423
237,86.8629
238,85.8109
239,84.8769
240,82.8572
241,79.9317
242,77.9982
243,76.6858
244,75.5310
245,72.6650
246,68.3328
247,69.4020
248,66.7034
249,65.3678
250,63.8448
251,61.0246
252,59.1378
253,58.1909
254,56.4685
255,55.8801
256,54.9673
257,55.5149
258,55.4196
259,56.3651
260,55.1895
261,53.5418
262,53.6633
263,56.3992
264,52.7447
265,52.7199
266,51.3182
267,50.3175
268,50.1733
269,50.6648
270,49.6701
271,48.9475
272,48.5639
273,48.2092
274,48.0069
275,50.7367
276,49.7402
277,47.0363
278,45.9126
279,45.4712
280,44.7714
281,44.5365
282,44.8869
283,46.3909
284,46.2061
285,46.1324
286,45.8280
287,45.8205
288,45.7837
289,46.8436
290,45.3275
291,45.0124
292,44.8044
293,44.6226
294,44.9653
295,44.6808
296,44.4640
297,44.6467
298,44.0296
299,44.3710
300,44.9725
301,45.3324
302,45.4087
303,47.8240
304,50.0129
305,53.4656
306,52.2311
307,59.9158
308,64.2707
309,69.4310
310,76.1375
311,85.5686
312,91.3677
313,97.2004
314,103.0769
315,108.1588
316,109.8565
317,113.9651
318,118.6017
319,120.2610
320,122.2270
321,128.9627
322,130.4175
323,133.0477
324,137.4811
325,138.5893
326,141.0423
327,142.8629
328,144.6279
329,146.8678
330,148.7127
331,150.3619
332,151.3755
333,153.1330
334,154.2152
335,153.7552
336,154.1438
337,154.8947
338,155.8609
339,156.7690
340,157.3545
341,157.9081
342,157.9840
343,159.2073
344,159.9251
345,159.5929
346,160.1830
347,160.1460
348,160.1150
349,159.9207
350,160.0678
351,159.6361
352,159.6839
353,159.8125
354,159.7651
355,159.8361
356,159.4202
357,159.5243
358,159.3069
359,159.0823
360,158.1726
361,157.0296
362,155.6601
363,154.4478
364,153.4365
365,150.0884
366,148.0208
367,147.0344
368,144.8312
369,143.2236
370,139.5938
371,137.2847
372,133.1721
373,132.6175
374,132.5586
375,128.8949
376,125.0317
377,124.1756
378,123.8436
379,121.0847
380,116.8094
381,116.9380
382,114.7264
383,114.5400
384,110.4122
385,111.1847
386,110.8864
387,108.5952
388,111.7284
389,106.2145
390,102.6312
391,99.8451
392,98.9133
393,97.8137
394,95.7701
395,92.9097
396,88.4976
397,85.9138
398,82.6702
399,80.4210
400,79.8696
401,77.6722
402,76.0324
403,73.6692
404,70.1422
405,68.4904
406,67.0264
407,66.6794
408,67.1681
409,65.6122
410,65.4973
411,65.1444
412,63.3158
413,63.0213
414,62.6125
415,61.5585
416,59.8282
417,58.8283
418,57.8102
419,54.7377
420,53.5027
421,53.1031
422,53.4182
423,52.6404
424,51.9028
425,51.2639
426,50.6873
427,50.3174
428,50.0042
429,49.4897
430,49.2084
431,49.1880
432,48.8809
433,48.6874
434,48.0284
435,47.4970
436,47.8684
437,48.2166
438,47.7434
439,48.0355
440,48.5719
441,48.5607
442,48.5930
443,48.6501
444,47.8895
445,46.9612
446,46.5755
447,46.2762
448,45.9197
449,45.2818
450,45.1442
451,45.1477
452,45.0963
453,44.3696
454,44.3856
455,43.7747
456,43.9397
457,42.8768
458,43.1532
459,44.5504
460,46.3543
461,48.8889
462,51.3581
463,52.9891
464,53.6710
465,59.1490
466,60.7483
467,68.0077
468,71.4954
469,80.1634
470,82.9323
471,88.9465
472,96.7562
473,102.8197
474,106.3347
475,107.2256
476,107.6966
477,114.3800
478,116.4551
479,120.3688
480,125.6337
481,129.7086
482,132.9831
483,137.5273
484,139.1758
485,142.1753
486,145.5452
487,146.5015
488,148.8079
489,152.0644
490,155.1557
491,156.8089
492,157.6167
493,158.3377
494,159.6231
495,160.9320
496,161.3474
497,161.6638
498,161.2418
499,161.4142
500,160.5702
501,160.5430
502,159.8474
503,159.7443
504,159.8500
505,160.4077
506,161.7978
507,161.6885
508,161.3101
509,162.0479
510,161.9062
511,159.8164
512,162.0991
513,161.0360
514,159.5225
515,158.0067
516,156.3676
517,153.3910
518,152.1972
519,150.4439
520,146.7376
521,142.4068
522,141.4819
523,138.7183
524,132.7988
525,132.9503
526,128.3795
527,123.8374
528,123.8318
529,119.4601
530,115.5405
531,115.6386
532,115.1776
533,113.9636
534,111.0967
535,109.0153
536,107.4075
537,105.0951
538,101.4578
539,97.0437
540,95.4350
541,90.2114
542,85.6067
543,82.5366
544,81.2158
545,79.4099
546,77.4573
547,75.8806
548,74.4493
549,72.6447
550,71.7950
551,70.7399
552,68.9228
553,68.1737
554,65.7707
555,64.3910
556,64.4145
557,62.9249
558,61.2611
559,61.2119
560,59.6632
561,57.9049
562,56.5228
563,55.3306
564,54.1038
565,53.6796
566,51.9765
567,50.2044
568,50.6184
569,50.8343
570,50.6802
571,51.2001
572,51.1504
573,50.8843
574,49.2470
575,49.6890
576,49.3469
577,49.9889
578,50.0950
579,49.7088
580,50.3418
581,49.6651
582,48.5139
583,47.1479
584,46.3189
585,46.5348
586,46.1271
587,45.1068
588,43.8196
589,44.0679
590,43.5232
591,42.5984
592,42.5330
593,43.6058
594,45.4399
595,46.8539
596,49.7612
597,52.1524
598,53.0788
599,54.5277
600,58.4333
601,64.8151
602,71.7826
603,77.5344
604,82.4679
605,87.6873
606,98.1161
607,101.4360
608,106.5759
609,109.2580
610,107.7827
611,114.1700
612,119.3082
613,123.8375
614,127.2995
615,128.5534
616,128.8757
617,131.8301
618,135.8339
619,137.8112
620,141.7959
621,145.8271
622,147.2410
623,149.5612
624,150.9429
625,151.8812
626,154.0743
627,154.9348
628,156.5607
629,159.4838
630,160.6872
631,161.8124
632,162.9639
633,163.7885
634,164.4215
635,164.7628
636,164.7648
637,165.0539
638,165.1179
639,165.3001
640,165.6032
641,165.9899
642,166.3671
643,166.7297
644,166.9862
645,167.0305
646,166.7740
647,166.5179
648,166.4525
649,165.9671
650,165.2335
651,163.8485
652,159.9761
653,157.0439
654,155.6596
655,153.8558
656,152.7150
657,150.9130
658,148.3996
659,145.4023
660,141.0395
661,138.8742
662,133.3388
663,130.7379
664,131.5513
665,125.2482
666,125.3515
667,120.9368
668,116.7403
669,114.4612
670,112.6888
671,113.7644
672,112.4303
673,110.2395
674,106.4475
675,104.7667
676,104.2803
677,101.6670
678,99.0585
679,95.1781
680,89.8814
681,85.9997
682,84.4479
683,83.2165
684,78.8207
685,79.4001
686,76.9804
687,75.2207
688,71.4925
689,68.5262
690,68.6711
691,66.6372
692,64.3544
693,63.5135
694,62.8321
695,61.7400
696,59.3898
697,57.4918
698,56.6282
699,55.2950
700,54.3916
701,53.5896
702,53.1818
703,55.7224
704,53.7251
705,53.9346
706,54.3464
707,53.2267
708,52.9919
709,52.9469
710,51.6602
