frame_index,angle_deg
0,156.7458
1,156.2188
2,155.8520
3,154.7301
4,153.8532
5,152.4023
6,151.0646
7,149.6210
8,148.1253
9,146.5625
10,146.2344
11,144.8881
12,142.7493
13,140.5913
14,138.8001
15,135.5849
16,132.2866
17,128.8955
18,125.3089
19,121.8841
20,118.3624
21,115.8769
22,114.1892
23,112.1840
24,108.8569
25,105.8761
26,102.4360
27,98.6483
28,95.0909
29,92.4438
30,90.5068
31,88.9350
32,87.5395
33,86.3860
34,85.2392
35,83.8440
36,82.3052
37,80.9477
38,79.8222
39,78.7055
40,77.2503
41,75.9743
42,75.0515
43,74.1019
44,72.6067
45,71.1193
46,70.3925
47,69.3590
48,68.3348
49,68.0701
50,68.1134
51,67.6046
52,67.1080
53,66.4532
54,66.0242
55,65.6168
56,65.2086
57,65.0264
58,64.9043
59,64.3855
60,63.8925
61,63.4047
62,62.8738
63,62.5149
64,62.3163
65,62.0394
66,61.6032
67,61.1972
68,60.7294
69,60.2182
70,59.6582
71,59.1108
72,58.4069
73,57.7795
74,57.2329
75,56.7173
76,56.1408
77,55.6570
78,54.5084
79,53.2241
80,52.5644
81,52.0611
82,50.9575
83,50.4546
84,50.0881
85,49.9449
86,49.5480
87,50.0658
88,51.9301
89,54.5287
90,57.1108
91,60.4745
92,64.1507
93,67.1007
94,69.9091
95,72.5986
96,75.2452
97,77.7059
98,80.4034
99,82.8428
100,85.6001
101,88.4171
102,91.0979
103,93.3148
104,95.5357
105,97.6282
106,99.6153
107,101.9860
108,105.0974
109,108.2548
110,111.0867
111,114.0305
112,116.7830
113,119.0475
114,121.5013
115,123.1891
116,124.6880
117,126.0659
118,127.5011
119,128.6505
120,130.4156
121,132.0693
122,133.5275
123,134.5252
124,135.4662
125,136.3863
126,137.5229
127,139.4342
128,140.8746
129,141.9760
130,143.0830
131,143.8676
132,143.7130
133,144.1948
134,144.9158
135,145.5313
136,145.9884
137,146.6956
138,147.5621
139,148.5010
140,149.2982
141,150.0691
142,150.6358
143,150.9144
144,151.3924
145,152.1652
146,153.1170
147,154.0055
148,154.8904
149,155.3393
150,155.7266
151,156.2868
152,157.0749
153,156.7245
154,156.4949
155,156.0891
156,155.5597
157,154.9344
158,155.5064
159,156.1341
160,156.7950
161,157.4259
162,157.9594
163,158.1977
164,158.1411
165,157.8877
166,157.5953
167,157.3353
168,157.0160
169,157.0007
170,157.2360
171,157.3081
172,157.3978
173,157.4585
174,156.9363
175,156.0521
176,154.9937
177,153.2956
178,151.4579
179,149.5837
180,147.3638
181,145.2734
182,143.2616
183,141.3833
184,140.2433
185,138.8208
186,137.2059
187,135.6748
188,133.5208
189,130.5533
190,127.8750
191,124.8899
192,121.5687
193,118.7736
194,116.0887
195,113.0708
196,110.4170
197,107.5262
198,104.7168
199,102.0739
200,99.9238
201,97.7264
202,96.3487
203,94.7002
204,93.0895
205,91.5431
206,90.0872
207,88.5510
208,86.8400
209,85.0932
210,83.2448
211,81.4187
212,79.7716
213,78.5852
214,77.3783
215,76.4493
216,75.4937
217,74.8196
218,74.2387
219,73.8082
220,73.2760
221,72.8223
222,72.0426
223,71.0994
224,70.1188
225,69.3021
226,68.5747
227,67.9866
228,67.5316
229,67.2742
230,67.1425
231,67.1341
232,67.0155
233,66.9354
234,66.8703
235,66.6995
236,66.4777
237,66.3113
238,66.2474
239,66.1372
240,65.9642
241,65.7553
242,65.4760
243,65.1501
244,64.7672
245,64.5330
246,64.4020
247,64.4145
248,64.4164
249,64.4712
250,64.4658
251,64.3082
252,63.9177
253,63.5235
254,63.1467
255,62.7336
256,62.3350
257,61.9668
258,61.6953
259,61.5901
260,62.0514
261,62.9654
262,64.2901
263,66.0388
264,68.0265
265,70.2780
266,72.4796
267,74.6879
268,76.6701
269,79.0248
270,80.8836
271,83.3006
272,85.7162
273,88.1895
274,90.3807
275,92.7344
276,94.5149
277,96.4105
278,98.4558
279,100.7834
280,103.4692
281,106.4490
282,109.6636
283,112.7793
284,115.6818
285,118.0958
286,119.9810
287,121.5732
288,122.4106
289,123.6206
290,124.1187
291,124.8268
292,125.3561
293,126.5282
294,127.0894
295,128.2917
296,129.8757
297,132.8210
298,135.0544
299,137.1639
300,139.3973
301,140.4510
302,140.3493
303,141.1158
304,141.2964
305,141.4968
306,142.2902
307,143.4061
308,144.4481
309,145.9223
310,147.3162
311,148.9882
312,150.0514
313,150.8807
314,152.0779
315,152.8251
316,153.1578
317,153.5176
318,153.9368
319,153.8486
320,153.9202
321,154.1443
322,154.5520
323,154.8419
324,155.4073
325,156.1044
326,156.6875
327,157.1311
328,157.7971
329,158.5947
330,159.3867
331,159.9043
