frame_index,angle_deg
0,170.0126
1,170.1515
2,170.3249
3,170.7206
4,171.0140
5,171.2103
6,171.0869
7,170.9557
8,170.5493
9,170.0578
10,169.5602
11,169.2311
12,168.7436
13,167.8818
14,166.7657
15,165.0779
16,163.0929
17,160.5643
18,158.0470
19,155.2632
20,152.5679
21,150.1472
22,148.1777
23,146.2710
24,144.4471
25,142.9500
26,141.2599
27,139.0297
28,136.4442
29,133.9582
30,131.2052
31,128.1424
32,125.5603
33,123.7944
34,122.1319
35,120.5524
36,119.1704
37,117.5378
38,116.1507
39,114.3001
40,113.0397
41,112.1811
42,111.6577
43,110.5709
44,109.5173
45,107.8040
46,105.7525
47,103.2088
48,100.0349
49,97.1108
50,94.2386
51,91.3648
52,88.8186
53,86.7974
54,84.9480
55,83.1275
56,81.2419
57,79.5097
58,77.9164
59,76.2569
60,74.5949
61,73.1322
62,71.6845
63,70.3923
64,69.3668
65,68.4316
66,67.4296
67,66.2667
68,65.1846
69,63.9380
70,62.4956
71,61.2731
72,59.8954
73,58.3432
74,57.0707
75,56.2350
76,55.4769
77,55.0906
78,55.3343
79,55.3814
80,55.4282
81,55.4505
82,55.5551
83,55.2722
84,54.0474
85,52.6821
86,52.1799
87,51.6006
88,50.8807
89,51.2716
90,51.6862
91,51.2166
92,50.7468
93,50.2677
94,49.5792
95,49.0718
96,48.4976
97,48.0183
98,47.5672
99,47.2901
100,47.0262
101,46.7894
102,46.5257
103,46.3884
104,46.3338
105,46.2216
106,46.2374
107,46.1947
108,46.2403
109,46.2102
110,46.2350
111,46.1444
112,46.0407
113,45.8398
114,45.7899
115,45.6496
116,45.5731
117,45.4886
118,45.1807
119,44.7606
120,44.2860
121,43.8451
122,43.6147
123,43.8628
124,44.5381
125,45.3873
126,46.9270
127,47.6852
128,50.3156
129,53.6168
130,57.4167
131,61.6562
132,68.2428
133,74.1138
134,79.9340
135,86.8918
136,93.9343
137,100.1266
138,105.3958
139,110.2243
140,114.0736
141,117.5430
142,120.7738
143,124.6703
144,128.0274
145,131.7495
146,135.2227
147,138.7915
148,141.6883
149,144.7323
150,147.0115
151,148.9891
152,150.4749
153,151.8221
154,152.9661
155,153.9143
156,154.8931
157,155.7804
158,156.4054
159,157.1671
160,157.8674
161,158.3572
162,159.0027
163,159.4059
164,159.8700
165,160.3014
166,160.5799
167,160.4056
168,160.4208
169,160.2012
170,160.2277
171,160.2991
172,160.3154
173,160.3383
174,160.4808
175,160.3269
176,160.0866
177,159.9549
178,159.7198
179,159.5553
180,159.5602
181,159.7635
182,160.2465
183,160.7256
184,161.4198
185,161.9430
186,162.3692
187,162.6581
188,162.9743
189,162.9155
190,162.8393
191,162.7469
192,162.5936
193,162.4715
194,162.3390
195,162.1297
196,161.7845
197,161.2408
198,160.3293
